feature_id,feature_name,feature_description,expected_decision,expected_regulations,expected_control_type,test_category,test_reasoning
TC-001,Jellybean parental consent flow for EU users,"Implementation of parental consent mechanism using our Jellybean system to comply with DSA requirements for users under 18 in European Union territories. Uses ASL logic to verify age before content access.",YES,"[""DSA""]","[""age_gating"", ""parental_consent""]",Clear Legal Compliance - Age Gating,Clear legal terminology with specific regulation reference and age-related controls
TC-002,Snowcap minor verification for CA SB-976,"Deploying Snowcap policy framework to implement minor verification checks for California users. System blocks addictive features during school hours and implements usage time limits per SB-976 requirements. DRT set to 30 days for compliance logs.",YES,"[""CA-SB976""]","[""age_gating"", ""content_restriction"", ""data_retention""]",Clear Legal Compliance - Age Gating,Multiple compliance signals with specific regulation citation and control types
TC-003,CSAM detection with NCMEC reporting,"Automated detection system that identifies potential child sexual abuse material and triggers mandatory reporting to NCMEC within 24 hours as required by federal law. EchoTrace logs maintained for audit purposes.",YES,"[""US-NCMEC""]","[""reporting"", ""notice_and_action""]",Clear Legal Compliance - Content Moderation,Clear CSAM reporting requirement with specific legal obligation
TC-004,EU copyright takedown automation,"Automated system for processing copyright takedown requests in EU territories per DSA notice and action requirements. Implements GH-based routing to ensure local compliance policy (LCP) adherence.",YES,"[""DSA""]","[""notice_and_action"", ""content_restriction""]",Clear Legal Compliance - Content Moderation,Copyright compliance with geographic routing for legal requirements
TC-005,Korean market PF algorithm test,"A/B testing new personalized feed (PF) algorithm optimizations for Korean market. Feature rollout (FR) limited to 10% of KR users to measure engagement metrics. Spanner rules route traffic appropriately.",NO,"[]","[]",Clear Business Geofencing,Clear A/B test language with market experimentation focus no legal compliance signals
TC-006,Japan creator fund payout experiment,"Trial run of new creator monetization features in Japan market. Testing payment processing improvements and reward distribution mechanisms. GH handles regional routing for this market experiment.",NO,"[]","[]",Clear Business Geofencing,Business experimentation with creator payments no legal compliance context
TC-007,Video filter disabled in Germany,"New video enhancement filter available globally except in Germany. Feature uses advanced AI processing and is currently blocked in DE region via GH routing. No specific rationale documented.",REVIEW,"[]","[]",Ambiguous Cases - Missing Context,Geographic exclusion without clear legal rationale - needs human review
TC-008,Data retention policy for France,"Implementing 90-day DRT for French user data with automatic deletion. Policy applies only to France-based users. Compliance team requested this implementation but legal basis not specified in current documentation.",REVIEW,"[]","[""data_retention""]",Ambiguous Cases - Missing Context,Data retention suggests compliance but lacks clear legal citation
TC-009,EU mood-based content with minor safeguards,"A/B testing mood-based PF algorithm in EU with special ASL protections for underage users. Trial includes both market research components and mandatory age verification per local compliance requirements. Jellybean system handles the minor protection logic.",YES,"[""DSA""]","[""age_gating""]",Edge Cases - Mixed Signals,Despite A/B test language includes clear legal compliance requirements for minors
TC-010,Florida gaming features with parental controls,"Rolling out new gaming integration features in Florida with enhanced parental consent mechanisms. While primarily a market expansion, includes mandatory compliance with FL minor protection laws including usage time limits and content filtering.",YES,"[""FL-Minors""]","[""parental_consent"", ""content_restriction""]",Edge Cases - Mixed Signals,Business expansion that includes mandatory legal compliance components
TC-011,Redline status for UT compliance,"Feature flagged for redline review due to potential UT-SMRA implications. Implements softblock functionality for users flagged as NR in Utah region. CDS system monitors for compliance violations with IMT triggers active.",YES,"[""UT-SMRA""]","[""age_gating""]",Jargon-Heavy Cases,Heavy jargon but clear Utah regulation reference and compliance monitoring
TC-012,Glow compliance status for T5 data,"System implements Glow flagging for Tier 5 sensitivity data handling in EEA regions. EchoTrace monitoring active with NSP policy enforcement. ShadowMode deployment for initial compliance verification before full rollout.",YES,"[""DSA""]","[""data_localization"", ""data_retention""]",Jargon-Heavy Cases,High sensitivity data handling in EU region suggests GDPR/DSA compliance
TC-013,Age-themed content variant test,"A/B testing age-appropriate theme variations for different user demographics across global markets. Testing how users of different age groups respond to UI themes. No actual age verification or legal requirements involved.",NO,"[]","[]",False Positive Traps,Contains 'age' terminology but is purely UX testing not legal compliance
TC-014,Minor UI layout experiment,"Testing minor adjustments to the main feed layout algorithm. Small variant test to optimize user engagement through subtle interface changes. Feature uses standard A/B testing methodology.",NO,"[]","[]",False Positive Traps,'Minor' refers to small changes not underage users - should not trigger false positive
TC-015,EEA cross-border data handling,"Feature processes user data across multiple EEA countries with automatic data localization per GDPR requirements. Implements region-specific DRT policies and cross-border transfer restrictions. BB monitoring detects compliance anomalies.",YES,"[""DSA""]","[""data_localization"", ""data_retention""]",Geographic Complexity,Multi-jurisdiction data handling with clear GDPR/DSA compliance requirements
TC-016,US state-specific reporting system,"Automated reporting system that generates different compliance reports for California, Florida, and Utah based on respective state laws. System handles CA-SB976 addiction metrics, FL minor usage data, and UT social media compliance statistics.",YES,"[""CA-SB976"", ""FL-Minors"", ""UT-SMRA""]","[""reporting""]",Geographic Complexity,Multi-state compliance reporting with specific regulation references
TC-017,Compliance system with vague legal reference,"Feature implements various user protections in response to 'regulatory requirements' in EU region. Includes age-related checks and content filtering but specific laws not clearly identified. Legal team indicated compliance necessary.",REVIEW,"[]","[""age_gating"", ""content_restriction""]",Confidence Testing,Vague legal reference should result in low confidence and REVIEW decision
TC-018,Explicit CSAM reporting workflow,"Mandatory CSAM detection and reporting system per 18 U.S.C. § 2258A requirements. Automatically reports suspected child sexual abuse material to National Center for Missing & Exploited Children within legally required timeframe. EchoTrace audit logs maintained.",YES,"[""US-NCMEC""]","[""reporting""]",Confidence Testing,Explicit legal citation and clear NCMEC reporting should yield high confidence
