test_case_id,feature_name,feature_description,predicted_classification,confidence,reasoning,regulation,triggered_rules,recommendations,,,,,,,,,,,,,,,,,
1,Curfew login blocker with ASL and GH for Utah minors,"To comply with the Utah Social Media Regulation Act, we are implementing a curfew-based login restriction for users under 18. The system uses ASL to detect minor accounts and routes enforcement through GH to apply only within Utah boundaries. The feature activates during restricted night hours and logs activity using EchoTrace for auditability. This allows parental control to be enacted without user-facing alerts, operating in ShadowMode during initial rollout.",YES,0.0,"The feature implements a curfew-based login restriction for minors and is specifically designed to comply with the Utah Social Media Regulation Act, applying only within Utah boundaries. This triggers requirements for parental controls and night-time curfews.",us_ut_social_media,[],[],,,,,,,,,,,,,,,,,
2,PF default toggle with NR enforcement for California teens,"As part of compliance with California’s SB976, the app will disable PF by default for users under 18 located in California. This default setting is considered NR to override, unless explicit parental opt-in is provided. Geo-detection is handled via GH, and rollout is monitored with FR logs. The design ensures minimal disruption while meeting the strict personalization requirements imposed by the law.",UNSURE,0.0,"The feature disables the personalized feed by default for users under 18 located in California, which is done to comply with California's . This falls under the California Age-Appropriate Design Code, which requires high-privacy defaults for minors. External law reference(s) removed: SB976. Not in reference context; set to UNSURE.",us_ca_aadc,[],[],,,,,,,,,,,,,,,,,
3,Child abuse content scanner using T5 and CDS triggers,"In line with the US federal law requiring providers to report child sexual abuse content to NCMEC, this feature scans uploads and flags suspected materials tagged as T5. Once flagged, the CDS auto-generates reports and routes them via secure channel APIs. The logic runs in real-time, supports human validation, and logs detection metadata for internal audits. Regional thresholds are governed by LCP parameters in the backend.",YES,0.0,"The feature scans uploads for child sexual abuse material and reports it. This aligns with the US federal law requiring providers to report child sexual abuse content to NCMEC. The implementation location is not explicitly stated, but the feature description mentions alignment with US federal law, so the US federal rule applies.",us_ncmec_reporting,[],[],,,,,,,,,,,,,,,,,
4,Content visibility lock with NSP for EU DSA,"To meet the transparency expectations of the EU Digital Services Act, we are introducing a visibility lock for flagged user-generated content labeled under NSP. When such content is detected, a soft Softblock is applied and GH ensures enforcement is restricted to the EU region only. EchoTrace supports traceability, and Redline status can be triggered for legal review. This feature enhances accountability and complies with Article 16’s removal mechanisms.",UNSURE,0.0,"The feature description explicitly mentions compliance with the EU Digital Services Act and restricts enforcement to the EU region. The feature handles user-generated content and implements removal mechanisms, which triggers the need to consider data protection regulations. Therefore, EU is applicable. External law reference(s) removed: GDPR. Not in reference context; set to UNSURE.",eu_gdpr,[],[],,,,,,,,,,,,,,,,,
5,Jellybean-based parental notifications for Florida regulation,"To support Florida's Online Protections for Minors law, this feature extends the Jellybean parental control framework. Notifications are dispatched to verified parent accounts when a minor attempts to access restricted features. Using IMT, the system checks behavioral anomalies against BB models. If violations are detected, restrictions are applied in ShadowMode with full audit logging through CDS. Glow flags ensure compliance visibility during rollout phases.",YES,0.0,The feature implements parental controls and notifications specifically to support Florida's online protection laws for minors. This triggers requirements under the Florida Minor Online Safety Requirements.,us_fl_minor_online_safety,[],[],,,,,,,,,,,,,,,,,
6,Unified retention control via DRT & CDS,"Introduce a data retention feature using DRT thresholds, ensuring automatic log deletion across all regions. CDS will continuously audit retention violations, triggering EchoTrace as necessary. Spanner logic ensures all platform modules comply uniformly.",UNSURE,0.0,"The feature description involves data retention and deletion of logs across all regions, which may include the EU. If personal data is processed, EU requirements for data retention, deletion, and auditing of compliance would apply. External law reference(s) removed: GDPR. Not in reference context; set to UNSURE.",eu_gdpr,[],[],,,,,,,,,,,,,,,,,
7,NSP auto-flagging,"This feature will automatically detect and tag content that violates NSP policy. Once flagged, Softblock is applied and a Redline alert is generated if downstream sharing is attempted.",UNSURE,0.0,"The feature description involves content moderation and flagging, which could potentially trigger legal requirements depending on the nature of the content and the location of implementation. However, the implementation location is not specified, so it is not possible to determine which jurisdiction's laws might apply. Therefore, I cannot determine if this feature requires geo-specific legal compliance logic.",None,[],[],,,,,,,,,,,,,,,,,
8,T5 tagging for sensitive reports,"When users report content containing high-risk information, it is tagged as T5 for internal routing. CDS then enforces escalation. The system is universal and does not rely on regional toggles or GH routes.",YES,0.0,"The feature tags user-reported content containing high-risk information and escalates it via CDS (Compliance Detection System). Because the system is universal and does not rely on regional toggles, the NCMEC reporting rule applies. If the high-risk information includes apparent CSAM, the online service must report it to NCMEC without delay and preserve relevant data for law enforcement.",us_ncmec_reporting,[],[],,,,,,,,,,,,,,,,,
9,Underage protection via Snowcap trigger,"Snowcap is activated for all underage users platform-wide, applying ASL to segment accounts. Actions taken under this logic are routed to CDS and monitored using BB to identify deviations in usage.",YES,0.0,"The feature description states that age-sensitive logic is applied to segment accounts of underage users platform-wide. This triggers compliance detection and monitoring of user behavior. Because the feature impacts children and involves monitoring behavior, regulations regarding children's online privacy and safety may apply. Since no specific location is mentioned, I will assume that the feature is implemented in the US. Therefore, Children’s Online Privacy Protection Act (`us_coppa`) may apply.",us_coppa,[],[],,,,,,,,,,,,,,,,,
10,Universal PF deactivation on guest mode,"By default, PF will be turned off for all uses browsing in guest mode.",NO,0.0,The feature deactivates the personalized feed in guest mode. This is a business rollout decision rather than a legal requirement.,None,[],[],,,,,,,,,,,,,,,,,
11,Story resharing with content expiry,"Enable users to reshare stories from others, with auto-expiry after 48 hours. This feature logs resharing attempts with EchoTrace and stores activity under BB.",UNSURE,0.0,The feature description does not specify an implementation location. A location is required to determine if any geo-specific legal regulations apply.,None,[],[],,,,,,,,,,,,,,,,,
12,Leaderboard system for weekly creators,Introduce a creator leaderboard updated weekly using internal analytics. Points and rankings are stored in FR metadata and tracked using IMT.,UNSURE,0.0,The feature description does not specify an implementation location. A location is required to determine legality for a specific jurisdiction.,None,[],[],,,,,,,,,,,,,,,,,
13,Mood-based PF enhancements,Adjust PF recommendations based on inferred mood signals from emoji usage. This logic is soft-tuned using BB and undergoes quiet testing in ShadowMode.,NO,0.0,"The feature description indicates that the mood-based personalized feed enhancements are undergoing quiet testing in ShadowMode, which suggests this is a business rollout decision rather than a legal requirement. The description does not state any collection/retention of precise location or other personal data, targeted advertising, profiling, or geofence-triggered messaging, handling of user-generated content or content moderation duties, or impacts on children/minors.",None,[],[],,,,,,,,,,,,,,,,,
14,New user rewards via NR profile suggestions,"At onboarding, users will receive NR-curated profiles to follow for faster network building. A/B testing will use Spanner.",NO,0.0,"The feature involves A/B testing of profile suggestions for faster network building. This appears to be a business rollout decision for market testing, and the description does not state any collection/retention of precise location or other personal data, targeted advertising, profiling, or geofence-triggered messaging, handling of user-generated content or content moderation duties, or impacts on children/minors.",None,[],[],,,,,,,,,,,,,,,,,
15,Creator fund payout tracking in CDS,Monetization events will be tracked through CDS to detect anomalies in creator payouts. DRT rules apply for log trimming.,NO,0.0,"The feature tracks monetization events to detect anomalies in creator payouts and applies data retention rules. This is a business decision related to payout monitoring and data retention thresholds, and does not involve collection of personal data, targeted advertising, content moderation, or impacts on children. Therefore, no specific legal compliance logic is required.",None,[],[],,,,,,,,,,,,,,,,,
16,Trial run of video replies in EU,"Roll out video reply functionality to users in EEA only. GH will manage exposure control, and BB is used to baseline feedback.",UNSURE,0.0,The feature rolls out video reply functionality to users in the EEA. This triggers EU General Data Protection Regulation () because it involves processing user data within the EU. External law reference(s) removed: GDPR. Not in reference context; set to UNSURE.,eu_gdpr,[],[],,,,,,,,,,,,,,,,,
17,Canada-first PF variant test,Launch a PF variant in CA as part of early experimentation. Spanner will isolate affected cohorts and Glow flags will monitor feature health.,UNSURE,0.0,"The feature description does not state whether the personalized feed collects personal data, targets advertising, handles user-generated content, or impacts children. Therefore, it is unclear if any legal regulations apply. A location is required to determine legality for a jurisdiction.",None,[],[],,,,,,,,,,,,,,,,,
18,Chat UI overhaul,"A new chat layout will be tested in the following regions: CA, US, BR, ID. GH will ensure location targeting and ShadowMode will collect usage metrics without user impact.",UNSURE,0.0,"The feature is a chat UI overhaul being tested in California (CA), United States (US), Brazil (BR), and Indonesia (ID). Since California is the most specific location and the feature does not appear to be a simple market availability toggle due to the nature of chat applications, California's Age-Appropriate Design Code () may apply, especially if the chat application is accessible to minors. Therefore, legal compliance logic may be required. External law reference(s) removed: AADC. Not in reference context; set to UNSURE.",us_ca_aadc,[],[],,,,,,,,,,,,,,,,,
19,Regional trial of autoplay behavior,"Enable video autoplay only for users in US. GH filters users, while Spanner logs click-through deltas.",NO,0.0,"The feature enables video autoplay only for users in the US. The description does not state any collection/retention of precise location or other personal data, targeted advertising, profiling, or geofence-triggered messaging, handling of user-generated content or content moderation duties, or impacts on children/minors. Therefore, this is a business rollout decision rather than a legal requirement.",None,[],[],,,,,,,,,,,,,,,,,
20,South Korea dark theme A/B experiment,A/B test dark theme accessibility for users in South Korea. Rollout is limited via GH and monitored with FR flags.,NO,0.0,"The feature is an A/B test of a dark theme limited to South Korea. The description indicates this is a business rollout decision rather than a legal requirement, as it does not involve collection of personal data, targeted advertising, content moderation, or impacts on children.",None,[],[],,,,,,,,,,,,,,,,,
21,Age-specific notification controls with ASL,"Notifications will be tailored by age using ASL, allowing us to throttle or suppress push alerts for minors. EchoTrace will log adjustments, and CDS will verify enforcement across rollout waves.",YES,0.0,"The feature tailors notifications based on age, throttling or suppressing push alerts for minors. This age-sensitive logic requires compliance with regulations regarding minors. While the implementation location is not specified, the feature's focus on minors and notification controls triggers potential obligations. Without a specific location, I will assume US-based implementation, triggering potential obligations under Children’s Online Privacy Protection Act (`us_coppa`), , and .",us_coppa,[],"['Determine the implementation location to ensure accurate legal compliance analysis.', 'Conduct a Data Protection Impact Assessment (DPIA) to assess and mitigate privacy risks associated with age-based notification controls.']",,,,,,,,,,,,,,,,,
22,Chat content restrictions via LCP,"Enforce message content constraints by injecting LCP rules on delivery. ShadowMode will initially deploy the logic for safe validation. No explicit mention of legal requirements, but privacy context is implied.",UNSURE,0.0,"The feature description implies a privacy context due to message content constraints, but the implementation location is not specified. Without knowing where the feature is deployed, it is impossible to determine which jurisdiction's laws apply.",None,[],[],,,,,,,,,,,,,,,,,
23,Video upload limits for new users,Introduce limits on video uploads from new accounts. IMT will trigger thresholds based on BB patterns. These limitations are partly for platform safety but without direct legal mapping.,UNSURE,0.0,The feature description does not specify an implementation location. A location is required to determine if any legal regulations apply.,None,[],[],,,,,,,,,,,,,,,,,
24,Flag escalation flow for sensitive comments,"A flow that detects high-risk comment content and routes it via CDS with Redline markers. The logic applies generally and is monitored through EchoTrace, with no mention of regional policies.",YES,0.0,The feature detects high-risk comment content and routes it for legal review. This content moderation duty could involve user-generated content that may trigger NCMEC reporting obligations if it contains apparent child sexual abuse material.,us_ncmec_reporting,[],[],,,,,,,,,,,,,,,,,
25,User behavior scoring for policy gating,Behavioral scoring via Spanner will be used to gate access to certain tools. The feature tracks usage and adjusts gating based on BB divergence.,UNSURE,0.0,"The feature description does not specify an implementation location, so it is not possible to determine whether any geo-specific legal compliance logic is required.",None,[],[],,,,,,,,,,,,,,,,,
26,Minor-safe chat expansion via Jellybean,"We’re expanding chat features, but for users flagged by Jellybean, certain functions (e.g., media sharing) will be limited. BB and ASL will monitor compliance posture.",YES,0.0,"The feature description states that chat features are being expanded, but certain functions (e.g., media sharing) will be limited for users flagged by Jellybean. Since Jellybean flags users and ASL monitors compliance posture, this suggests age-sensitive logic is in place. Because the feature impacts minors by limiting functionality, and no specific location is given, I must assume that it could be implemented in California, triggering California Age-Appropriate Design Code (`us_ca_aadc`).",us_ca_aadc,[],[],,,,,,,,,,,,,,,,,
27,Friend suggestions with underage safeguards,"New suggestion logic uses PF to recommend friends, but minors are excluded from adult pools using ASL and CDS logic. EchoTrace logs interactions in case future policy gates are needed.",YES,0.0,"The feature description indicates that minors are excluded from adult friend suggestion pools using age-sensitive logic and compliance detection systems. This suggests that the feature handles data related to minors and requires compliance with regulations regarding children's data. Since no specific location is mentioned, I will assume that the feature is implemented in the US, triggering the Children’s Online Privacy Protection Act (`us_coppa`) rule.",us_coppa,[],[],,,,,,,,,,,,,,,,,
28,Reaction GIFs with embedded filtering,"Enable GIFs in comments, while filtering content deemed inappropriate for minor accounts. Softblock will apply if a flagged GIF is used by ASL-flagged profiles.",YES,0.0,"The feature filters GIFs deemed inappropriate for minor accounts and applies softblocks if flagged GIFs are used by age-sensitive logic (ASL)-flagged profiles. This involves content moderation and impacts minors, potentially triggering regulations related to children's online safety. Since no specific location is mentioned, I will assume this feature is implemented in the US. Given the impact on minors, NCMEC Reporting (CSAM) (`us_ncmec_reporting`) may be relevant if the inappropriate content includes child sexual abuse material (CSAM).",us_ncmec_reporting,[],[],,,,,,,,,,,,,,,,,
29,Longform posts with age-based moderation,"Longform post creation is now open to all. However, moderation for underage authors is stricter via Snowcap.",YES,0.0,"The feature involves stricter moderation for underage authors, which implicates child safety policies. Since no specific location is mentioned, I will assume this applies to all users. This triggers requirements related to children's online safety and data protection. I will cite Children’s Online Privacy Protection Act (`us_coppa`) as a relevant regulation.",us_coppa,[],[],,,,,,,,,,,,,,,,,
30,Custom avatar system with identity checks,"Users can now design custom avatars. For safety, T5 triggers block adult-themed assets from use by underage profiles. Age detection uses ASL and logs flow through GH.",YES,0.0,"The feature allows users to create custom avatars and blocks adult-themed assets from underage profiles. Age detection is used, and the feature logs flow through a geo-handler. Since the feature uses age detection and handles user data, it is subject to regulations regarding children's data. Because the implementation location is not specified, I will assume that the feature is implemented in the US. Therefore, Children’s Online Privacy Protection Act (`us_coppa`) may apply.",us_coppa,[],[],,,,,,,,,,,,,,,,,
